subscription_id,user_id,platform,plan,price,start_date
S40,U18880,SonyLIV,Premium,499,2024-05-16
S41,U47383,Netflix,Premium,499,2024-01-21
S42,U32261,Hotstar,Premium,199,2023-08-24
S43,U40307,Prime,Basic,299,2023-10-12
S44,U26151,Netflix,Premium,499,2024-09-06
S45,U46119,Prime,Basic,499,2024-10-21
S46,U30894,SonyLIV,Premium,199,2023-05-08
S47,U31149,Prime,Basic,199,2024-04-06
S48,U9695,Hotstar,Premium,199,2024-07-28
S49,U39603,Hotstar,Premium,299,2024-01-31
S50,U88,Netflix,Basic,299,2023-01-23
S51,U12754,Netflix,Basic,199,2024-09-21
S52,U18171,Prime,Premium,499,2023-08-30
S53,U5342,Prime,Basic,199,2023-04-30
S54,U36761,SonyLIV,Basic,499,2023-07-27
S55,U40083,Netflix,Basic,199,2024-11-30
S56,U29793,SonyLIV,Premium,299,2024-06-17
S57,U4779,Netflix,Premium,199,2023-12-30
S58,U38757,Prime,Basic,299,2024-12-01
S59,U13091,SonyLIV,Basic,499,2024-06-12
S60,U10520,Prime,Premium,499,2024-02-14
S61,U11086,Prime,Basic,299,2023-05-03
S62,U48853,SonyLIV,Basic,299,2023-12-04
S63,U36809,Prime,Basic,499,2023-07-02
S64,U22303,Hotstar,Premium,199,2023-08-10
S65,U27384,SonyLIV,Basic,299,2024-05-30
S66,U27068,Prime,Premium,499,2024-02-20
S67,U19032,Netflix,Basic,499,2023-06-30
S68,U2614,SonyLIV,Basic,499,2024-10-31
S69,U4983,Netflix,Basic,299,2024-03-12
S70,U40306,SonyLIV,Basic,499,2024-12-12
S71,U6343,Netflix,Premium,299,2024-07-27
S72,U25465,Netflix,Basic,199,2024-08-19
S73,U38558,Hotstar,Premium,199,2023-04-14
S74,U24194,Hotstar,Basic,499,2023-12-01
S75,U24194,Hotstar,Premium,299,2024-12-27
S76,U31012,Hotstar,Premium,299,2023-12-18
S77,U15966,Prime,Premium,199,2024-01-17
S78,U10172,SonyLIV,Basic,499,2024-09-11
S79,U7090,SonyLIV,Premium,199,2023-06-09
S80,U41612,Prime,Premium,299,2023-03-15
S81,U48864,Prime,Premium,499,2023-04-05
S82,U12632,Netflix,Basic,299,2024-10-12
S83,U29471,Prime,Basic,199,2024-04-17
S84,U40674,Prime,Basic,199,2024-02-29
S85,U49138,SonyLIV,Basic,299,2023-09-29
S86,U3403,Netflix,Basic,199,2023-08-05
S87,U19274,SonyLIV,Premium,299,2023-07-01
S88,U35803,Prime,Premium,499,2024-05-27
S89,U44140,Netflix,Basic,299,2023-09-05
S90,U4199,Netflix,Basic,299,2023-06-24
S91,U38426,SonyLIV,Premium,299,2023-10-07
S92,U14361,Netflix,Premium,199,2023-08-04
S93,U14412,Hotstar,Premium,299,2024-04-01
S94,U45858,Prime,Premium,499,2024-04-24
S95,U3201,Hotstar,Premium,499,2023-01-02
S96,U46175,Prime,Premium,299,2024-01-10
S97,U45643,Prime,Premium,499,2024-08-27
S98,U26278,Netflix,Basic,299,2024-12-29
S99,U45488,Hotstar,Premium,199,2024-09-29
S100,U38136,Prime,Premium,499,2023-09-04
S101,U22009,Hotstar,Premium,199,2024-09-03
S102,U8544,SonyLIV,Basic,199,2024-10-24
S103,U37130,Prime,Premium,199,2024-09-12
S104,U40776,Netflix,Premium,299,2024-07-10
S105,U47102,Hotstar,Basic,499,2023-11-09
S106,U5658,Netflix,Premium,199,2023-03-16
S107,U43920,Hotstar,Basic,499,2024-05-30
S108,U33651,SonyLIV,Basic,199,2024-04-14
S109,U35770,Netflix,Premium,299,2023-03-08
S110,U7448,SonyLIV,Premium,299,2023-06-01
S111,U5148,Netflix,Basic,199,2024-10-31
S112,U6170,Netflix,Premium,199,2024-12-17
S113,U1524,SonyLIV,Premium,199,2024-09-18
S114,U38828,Hotstar,Basic,199,2024-01-02
S115,U35077,Prime,Premium,499,2023-05-10
S116,U22096,Hotstar,Premium,299,2024-06-03
S117,U1283,Prime,Premium,199,2024-09-12
S118,U2528,Netflix,Basic,499,2024-03-24
S119,U42115,Netflix,Basic,499,2023-06-07
S120,U20421,Hotstar,Basic,199,2024-07-19
S121,U817,Hotstar,Premium,299,2023-01-20
S122,U25125,SonyLIV,Basic,499,2024-03-30
S123,U24082,Hotstar,Premium,499,2023-12-19
S124,U32887,Prime,Basic,199,2024-12-06
S125,U39081,SonyLIV,Basic,299,2024-11-23
S126,U7687,Hotstar,Premium,299,2024-06-15
S127,U46730,Netflix,Basic,199,2023-01-23
S128,U32361,Prime,Basic,299,2024-03-21
S129,U19566,Netflix,Basic,199,2023-06-26
S130,U10003,Prime,Basic,299,2024-09-08
S131,U24180,Prime,Premium,199,2023-12-09
S132,U40476,SonyLIV,Basic,499,2023-08-18
S133,U15725,SonyLIV,Basic,499,2024-10-14
S134,U44680,Prime,Basic,199,2023-06-23
S135,U3761,SonyLIV,Premium,199,2023-06-01
S136,U14679,Netflix,Basic,299,2024-10-23
S137,U24598,Hotstar,Basic,199,2023-11-29
S138,U12621,Prime,Premium,499,2024-09-03
S139,U27059,SonyLIV,Basic,299,2023-02-07
S140,U17085,SonyLIV,Premium,199,2023-09-24
S141,U33030,SonyLIV,Basic,199,2023-03-23
S142,U22468,SonyLIV,Premium,199,2023-07-12
S143,U34434,Netflix,Basic,499,2024-06-16
S144,U31606,Netflix,Basic,499,2023-03-21
S145,U44127,Prime,Basic,299,2024-12-29
S146,U19894,Netflix,Premium,199,2024-03-26
S147,U27183,SonyLIV,Premium,499,2023-06-23
S148,U14474,Prime,Premium,499,2023-10-29
S149,U19863,Netflix,Premium,499,2024-03-10
S150,U1095,Hotstar,Premium,299,2024-10-29
S151,U13251,Prime,Premium,499,2023-01-05
S152,U23452,SonyLIV,Basic,499,2024-01-31
S153,U12035,SonyLIV,Basic,199,2024-11-29
S154,U17432,Netflix,Premium,499,2024-11-04
S155,U24340,Prime,Premium,299,2024-09-22
S156,U18070,Netflix,Basic,499,2024-12-22
S157,U3338,SonyLIV,Basic,299,2023-12-04
S158,U8831,Prime,Basic,299,2023-04-13
S159,U12861,SonyLIV,Basic,499,2023-01-24
S160,U35209,Netflix,Premium,199,2024-09-25
S161,U36602,Netflix,Basic,499,2024-08-13
S162,U16663,Hotstar,Premium,299,2023-03-18
S163,U2224,Netflix,Premium,299,2023-08-23
S164,U24270,Prime,Basic,299,2023-11-06
S165,U16282,Netflix,Premium,199,2023-01-11
S166,U34412,Hotstar,Basic,299,2023-04-07
S167,U40784,Hotstar,Premium,299,2024-05-13
S168,U817,Hotstar,Premium,499,2024-04-12
S169,U17868,Hotstar,Premium,199,2024-01-01
S170,U38194,Hotstar,Premium,199,2023-06-14
S171,U36946,Netflix,Premium,199,2025-01-01
S172,U47085,Hotstar,Basic,299,2023-06-29
S173,U16157,Prime,Premium,299,2024-11-09
S174,U40329,Netflix,Basic,299,2023-03-22
S175,U22335,Prime,Basic,499,2024-12-21
S176,U25023,SonyLIV,Basic,199,2023-12-06
S177,U25212,Netflix,Basic,199,2023-07-24
S178,U2114,Hotstar,Basic,299,2023-05-16
S179,U25401,Netflix,Basic,199,2023-09-22
S180,U35638,Prime,Premium,499,2023-10-14
S181,U37208,Prime,Premium,199,2023-05-08
S182,U33872,SonyLIV,Basic,199,2024-12-02
S183,U45027,SonyLIV,Basic,299,2024-11-15
S184,U34737,Hotstar,Premium,199,2024-04-04
S185,U46269,SonyLIV,Basic,499,2024-09-29
S186,U2216,SonyLIV,Premium,499,2024-08-11
S187,U33165,Hotstar,Premium,299,2024-03-02
S188,U28554,SonyLIV,Premium,499,2024-05-26
S189,U8038,SonyLIV,Basic,199,2023-11-30
S190,U10968,Hotstar,Basic,299,2024-07-25
S191,U14941,Hotstar,Basic,499,2024-04-25
S192,U38572,Prime,Basic,499,2024-06-09
S193,U32540,SonyLIV,Premium,499,2024-10-02
S194,U35084,Netflix,Basic,499,2023-01-20
S195,U1379,Hotstar,Basic,499,2023-08-31
S196,U40009,Netflix,Basic,299,2023-10-05
S197,U34142,Hotstar,Premium,499,2024-01-30
S198,U12512,Hotstar,Basic,199,2024-07-02
S199,U48155,Netflix,Premium,199,2023-06-09
S200,U10786,Hotstar,Premium,199,2024-09-30
S201,U17164,Prime,Premium,499,2024-01-07
S202,U49664,SonyLIV,Premium,199,2023-04-28
S203,U14271,Prime,Basic,499,2024-04-14
S204,U20512,Netflix,Basic,199,2024-06-16
S205,U12186,Prime,Basic,299,2023-05-04
S206,U10692,Netflix,Premium,499,2024-12-24
S207,U12186,Netflix,Premium,199,2024-02-08
S208,U17848,Prime,Premium,199,2023-04-30
S209,U17455,Prime,Premium,499,2024-11-18
S210,U13684,Hotstar,Basic,199,2023-01-25
S211,U10023,SonyLIV,Basic,299,2024-09-07
S212,U24776,Prime,Basic,299,2024-06-06
S213,U38332,Prime,Basic,199,2023-11-16
S214,U38591,Hotstar,Premium,299,2023-01-24
S215,U37635,Netflix,Premium,299,2023-09-18
S216,U22878,SonyLIV,Basic,199,2024-06-10
S217,U24670,Prime,Premium,299,2023-06-27
S218,U14817,SonyLIV,Basic,199,2023-10-06
S219,U46731,Hotstar,Premium,199,2024-12-20
S220,U27954,Netflix,Basic,299,2024-04-11
S221,U40554,Netflix,Premium,499,2023-06-14
S222,U22866,Hotstar,Basic,499,2023-06-01
S223,U14290,Netflix,Basic,499,2023-07-09
S224,U10403,Hotstar,Premium,199,2023-01-29
S225,U32326,Hotstar,Premium,199,2024-04-12
S226,U4332,Prime,Basic,299,2024-01-01
S227,U34886,Hotstar,Premium,299,2024-03-20
S228,U45441,SonyLIV,Basic,499,2023-09-08
S229,U25933,SonyLIV,Premium,299,2023-03-16
S230,U11855,Netflix,Basic,199,2024-05-15
S231,U14706,Netflix,Basic,499,2024-05-01
S232,U18219,SonyLIV,Premium,499,2023-05-31
S233,U4442,SonyLIV,Basic,199,2023-11-24
S234,U6256,SonyLIV,Premium,499,2024-12-24
S235,U5374,Prime,Premium,499,2023-10-16
S236,U32628,Prime,Basic,199,2023-10-16
S237,U9232,Hotstar,Premium,299,2023-11-11
S238,U3235,Hotstar,Basic,199,2024-11-05
S239,U11913,Netflix,Premium,299,2023-08-28
S240,U7008,Hotstar,Premium,299,2023-06-07
S241,U40163,SonyLIV,Basic,499,2024-07-16
S242,U30838,Hotstar,Premium,499,2023-08-31
S243,U45815,SonyLIV,Premium,499,2024-10-29
S244,U35324,Hotstar,Premium,299,2023-09-19
S245,U7892,Hotstar,Basic,499,2024-05-23
S246,U32377,Netflix,Basic,199,2023-01-01
S247,U11948,SonyLIV,Premium,199,2024-04-11
S248,U49615,SonyLIV,Premium,299,2024-10-15
S249,U304,Prime,Basic,299,2024-04-29
S250,U13999,Prime,Premium,199,2023-06-07
S251,U30451,Hotstar,Premium,299,2023-12-24
S252,U21578,Hotstar,Premium,499,2024-05-24
S253,U13820,Hotstar,Premium,499,2023-02-13
S254,U3731,Netflix,Basic,499,2024-11-20
S255,U4062,Prime,Premium,499,2024-03-02
S256,U17116,Netflix,Premium,199,2023-01-11
S257,U34954,Netflix,Basic,499,2023-08-05
S258,U32122,Hotstar,Basic,499,2024-08-17
S259,U14477,Netflix,Premium,299,2024-11-07
S260,U10896,SonyLIV,Basic,299,2024-05-10
S261,U48044,Prime,Premium,499,2024-04-01
S262,U3971,SonyLIV,Basic,299,2023-01-08
S263,U38335,SonyLIV,Premium,299,2023-02-18
S264,U37891,Hotstar,Basic,499,2024-07-03
S265,U11477,Hotstar,Premium,299,2024-10-26
S266,U46157,Netflix,Premium,199,2024-07-29
S267,U21993,Hotstar,Basic,199,2023-04-12
S268,U17535,Netflix,Premium,199,2023-04-04
S269,U42314,SonyLIV,Premium,199,2024-02-14
S270,U25076,SonyLIV,Premium,199,2024-05-11
S271,U1410,Prime,Premium,199,2023-04-04
S272,U3235,Netflix,Basic,199,2023-08-29
S273,U24736,Netflix,Premium,199,2023-10-05
S274,U4589,SonyLIV,Basic,199,2024-11-17
S275,U14431,SonyLIV,Basic,499,2024-03-10
S276,U28080,Hotstar,Basic,299,2023-07-24
S277,U30686,SonyLIV,Premium,499,2024-10-11
S278,U20105,SonyLIV,Basic,299,2024-05-01
S279,U25475,Prime,Premium,499,2024-05-13
S280,U37640,Hotstar,Premium,199,2024-01-23
S281,U41050,Netflix,Premium,499,2023-05-21
S282,U22920,Prime,Premium,299,2024-11-26
S283,U18394,SonyLIV,Premium,499,2023-02-15
S284,U19978,Netflix,Basic,299,2023-05-05
S285,U4123,SonyLIV,Basic,199,2024-05-22
S286,U44346,Netflix,Premium,299,2024-11-06
S287,U2591,Prime,Basic,299,2023-02-04
S288,U44975,Hotstar,Premium,499,2024-07-07
S289,U35064,Prime,Basic,199,2023-07-04
S290,U30363,Hotstar,Basic,499,2024-10-21
S291,U37383,Prime,Premium,299,2024-05-05
S292,U12260,Netflix,Basic,499,2023-02-25
S293,U47589,Hotstar,Premium,199,2023-05-06
S294,U2349,Hotstar,Premium,499,2023-03-04
S295,U3035,SonyLIV,Premium,299,2024-05-30
S296,U5346,Hotstar,Premium,299,2023-02-21
S297,U36424,Prime,Basic,499,2024-12-20
S298,U14214,Prime,Basic,299,2023-07-04
S299,U2992,Prime,Basic,499,2023-12-03
S300,U18514,Hotstar,Premium,199,2023-05-07
S301,U3156,Prime,Premium,299,2023-09-04
S302,U16177,Netflix,Premium,299,2023-11-11
S303,U35220,Netflix,Basic,199,2023-08-08
S304,U14567,Netflix,Basic,199,2023-04-07
S305,U28421,Prime,Premium,199,2023-10-31
S306,U5559,Hotstar,Basic,499,2023-03-13
S307,U16951,Netflix,Premium,299,2023-08-23
S308,U13760,Prime,Premium,199,2023-05-06
S309,U49726,Prime,Premium,299,2024-03-30
S310,U19708,Netflix,Premium,199,2023-08-05
S311,U38046,Prime,Basic,199,2023-10-03
S312,U39878,Netflix,Basic,299,2023-01-26
S313,U18630,Hotstar,Basic,299,2024-10-10
S314,U48996,SonyLIV,Premium,299,2023-10-15
S315,U32058,Hotstar,Premium,299,2023-02-24
S316,U35650,Netflix,Premium,199,2023-07-21
S317,U40895,Netflix,Basic,199,2024-05-23
S318,U17767,Hotstar,Basic,199,2024-09-08
S319,U45575,Hotstar,Basic,299,2024-01-07
S320,U17186,Netflix,Basic,499,2023-07-16
S321,U43332,Prime,Basic,499,2024-07-10
S322,U12725,SonyLIV,Basic,299,2023-12-26
S323,U18780,Prime,Premium,299,2024-11-30
S324,U48445,Netflix,Premium,299,2024-08-23
S325,U38971,Prime,Premium,299,2024-12-11
S326,U10116,Prime,Premium,199,2023-08-06
S327,U30049,Hotstar,Basic,299,2024-04-11
S328,U18615,Prime,Basic,199,2024-07-07
S329,U45417,Netflix,Premium,199,2024-08-15
S330,U6696,SonyLIV,Premium,199,2023-06-04
S331,U38962,Prime,Premium,499,2023-06-04
S332,U25990,Netflix,Basic,199,2023-07-17
S333,U46964,Hotstar,Premium,299,2023-07-12
S334,U48894,Netflix,Premium,199,2024-02-08
S335,U20241,Prime,Premium,299,2024-11-03
S336,U38730,Prime,Basic,499,2023-12-04
S337,U9672,SonyLIV,Premium,299,2024-11-07
S338,U22772,Prime,Basic,199,2024-10-12
S339,U24085,Prime,Basic,499,2024-11-03
S340,U10988,Prime,Premium,199,2023-02-19
S341,U39281,Netflix,Premium,499,2024-01-13
S342,U6974,Prime,Premium,299,2023-11-07
S343,U31176,Hotstar,Premium,499,2024-12-10
S344,U23460,Prime,Basic,299,2024-08-21
S345,U12957,SonyLIV,Premium,299,2024-06-28
S346,U25079,Netflix,Basic,199,2024-08-15
S347,U38735,SonyLIV,Premium,299,2023-11-17
S348,U17,SonyLIV,Premium,499,2024-06-09
S349,U418,Netflix,Premium,499,2023-05-15
S350,U42706,SonyLIV,Premium,199,2024-02-12
S351,U47570,Hotstar,Basic,499,2023-05-06
S352,U31395,SonyLIV,Basic,499,2024-05-16
S353,U4413,Prime,Basic,199,2023-07-06
S354,U8865,SonyLIV,Premium,299,2023-03-30
S355,U21304,SonyLIV,Premium,299,2023-02-01
S356,U665,Prime,Basic,499,2023-03-26
S357,U10040,Netflix,Premium,299,2024-01-11
S358,U14093,Prime,Premium,199,2023-04-22
S359,U38465,Hotstar,Basic,499,2024-02-14
S360,U2077,Prime,Basic,299,2023-01-09
S361,U22325,Netflix,Basic,299,2024-05-14
S362,U31149,Prime,Basic,299,2024-07-10
S363,U39737,Netflix,Basic,199,2023-06-14
S364,U7110,Hotstar,Premium,499,2023-10-12
S365,U48671,Prime,Premium,199,2023-11-24
S366,U13697,SonyLIV,Basic,499,2023-07-11
S367,U1495,SonyLIV,Premium,199,2023-04-05
S368,U4451,Hotstar,Basic,199,2024-05-06
S369,U15152,SonyLIV,Basic,499,2023-11-19
S370,U18228,Netflix,Basic,499,2023-03-22
S371,U9383,SonyLIV,Premium,199,2023-01-21
S372,U35697,SonyLIV,Premium,199,2024-12-14
S373,U21285,SonyLIV,Premium,299,2023-06-08
S374,U40427,Hotstar,Premium,199,2023-03-08
S375,U2871,Netflix,Basic,499,2024-12-05
S376,U4439,Prime,Premium,499,2024-10-10
S377,U31292,SonyLIV,Premium,299,2023-05-29
S378,U31904,Hotstar,Basic,499,2024-02-15
S379,U42539,Netflix,Basic,299,2023-02-24
S380,U23392,Prime,Premium,199,2024-09-16
S381,U20773,Netflix,Basic,199,2024-05-13
S382,U23093,Hotstar,Basic,299,2023-01-23
S383,U27206,Hotstar,Premium,199,2024-11-13
S384,U35454,SonyLIV,Premium,199,2023-03-01
S385,U38806,Netflix,Premium,499,2023-02-04
S386,U43314,Netflix,Basic,299,2023-10-09
S387,U5961,Hotstar,Basic,199,2024-01-20
S388,U23769,Hotstar,Premium,299,2023-11-18
S389,U45573,Netflix,Premium,299,2024-05-29
S390,U17982,Netflix,Premium,499,2023-06-26
S391,U7464,Hotstar,Premium,499,2024-10-29
S392,U221,Netflix,Basic,199,2024-07-22
S393,U46547,Netflix,Basic,299,2023-11-29
S394,U41760,SonyLIV,Premium,499,2024-02-02
S395,U37466,Hotstar,Basic,499,2024-12-06
S396,U15319,SonyLIV,Premium,299,2024-03-12
S397,U42441,Hotstar,Premium,199,2023-05-16
S398,U24149,Netflix,Basic,499,2023-07-06
S399,U19808,Prime,Premium,199,2024-02-11
S400,U9888,SonyLIV,Basic,199,2024-12-28
S401,U36142,Hotstar,Premium,499,2023-02-25
S402,U35795,SonyLIV,Basic,299,2024-08-27
S403,U30840,Hotstar,Basic,299,2023-01-04
S404,U14983,SonyLIV,Basic,299,2024-07-26
S405,U22525,Prime,Premium,299,2023-09-20
S406,U16464,Hotstar,Premium,299,2024-07-01
S407,U1777,Prime,Premium,199,2023-03-13
S408,U27878,Prime,Premium,199,2023-06-01
S409,U40649,Hotstar,Premium,199,2024-02-20
S410,U30,Netflix,Premium,499,2023-09-16
S411,U46099,Netflix,Basic,199,2024-03-29
S412,U37081,Prime,Basic,299,2024-07-04
S413,U29326,Netflix,Premium,199,2024-03-05
S414,U47908,Prime,Basic,199,2023-06-08
S415,U29190,Hotstar,Premium,499,2024-11-04
S416,U47683,SonyLIV,Basic,199,2023-02-17
S417,U23507,Netflix,Premium,199,2023-11-03
S418,U5555,Hotstar,Basic,299,2024-08-08
S419,U16129,Netflix,Premium,299,2023-04-07
S420,U5269,Netflix,Basic,499,2023-01-30
S421,U17441,Hotstar,Premium,199,2023-03-22
S422,U48989,Hotstar,Premium,499,2024-08-13
S423,U16467,Prime,Basic,199,2024-06-20
S424,U47292,Hotstar,Premium,299,2024-11-25
S425,U45547,Netflix,Premium,199,2023-08-08
S426,U24912,Prime,Premium,299,2023-12-20
S427,U33927,Hotstar,Basic,299,2024-02-15
S428,U36481,SonyLIV,Basic,299,2023-10-24
S429,U3709,Prime,Basic,299,2023-10-01
S430,U38613,SonyLIV,Basic,199,2023-08-31
S431,U26195,Hotstar,Basic,199,2023-04-13
S432,U4111,SonyLIV,Basic,499,2024-01-10
S433,U4958,Prime,Premium,499,2024-03-31
S434,U37159,Prime,Basic,199,2023-05-07
S435,U16692,SonyLIV,Premium,199,2024-11-26
S436,U39699,Hotstar,Basic,499,2024-08-02
S437,U40588,Prime,Premium,199,2024-04-08
S438,U48700,SonyLIV,Premium,199,2023-05-18
S439,U45357,Hotstar,Basic,199,2023-03-23
S440,U9781,SonyLIV,Premium,499,2024-08-12
S441,U37698,Prime,Basic,199,2024-10-19
S442,U33578,Hotstar,Basic,199,2023-12-30
S443,U21761,SonyLIV,Basic,499,2023-10-09
S444,U9588,SonyLIV,Premium,199,2024-06-08
S445,U6668,SonyLIV,Basic,499,2023-03-30
S446,U4675,Netflix,Premium,299,2024-03-22
S447,U40239,Prime,Basic,299,2023-10-21
S448,U3125,SonyLIV,Premium,499,2024-07-12
S449,U47822,SonyLIV,Basic,299,2024-12-12
S450,U31559,Hotstar,Basic,299,2023-09-23
S451,U33149,SonyLIV,Premium,499,2023-02-06
S452,U14379,Prime,Premium,299,2024-05-16
S453,U15119,Hotstar,Basic,499,2024-08-04
S454,U48181,Hotstar,Premium,499,2023-08-16
S455,U49880,Netflix,Basic,199,2024-02-09
S456,U4804,SonyLIV,Basic,499,2024-06-10
S457,U8728,Netflix,Premium,499,2023-08-28
S458,U47450,SonyLIV,Basic,299,2023-08-27
S459,U37296,Hotstar,Premium,499,2024-09-12
S460,U35475,SonyLIV,Basic,299,2023-09-02
S461,U9470,SonyLIV,Basic,299,2023-09-25
S462,U16340,Netflix,Basic,299,2023-03-02
S463,U41794,SonyLIV,Premium,499,2023-10-11
S464,U45798,Hotstar,Premium,299,2023-08-06
S465,U2788,SonyLIV,Premium,299,2024-01-28
S466,U4392,Netflix,Premium,199,2023-09-22
S467,U37004,Netflix,Basic,499,2024-02-18
S468,U19758,Netflix,Premium,299,2023-09-17
S469,U27509,Netflix,Basic,299,2024-03-10
S470,U32490,Netflix,Basic,499,2024-02-11
S471,U14868,Netflix,Basic,299,2023-12-02
S472,U12529,Netflix,Premium,499,2024-07-12
S473,U5386,Hotstar,Basic,199,2024-07-07
S474,U7978,SonyLIV,Premium,499,2024-07-09
S475,U26856,Hotstar,Basic,499,2024-04-24
S476,U44838,Prime,Premium,499,2023-08-14
S477,U7591,Netflix,Premium,499,2023-11-21
S478,U12216,Hotstar,Premium,199,2024-05-09
S479,U32619,Netflix,Basic,199,2023-09-10
S480,U30975,Netflix,Premium,499,2023-12-15
S481,U6775,Prime,Basic,299,2024-11-12
S482,U21377,Hotstar,Premium,199,2023-10-30
S483,U48781,Prime,Basic,199,2024-12-17
S484,U27255,Prime,Basic,299,2023-02-16
S485,U6098,Hotstar,Basic,199,2024-12-15
S486,U27442,SonyLIV,Basic,499,2024-03-25
S487,U35454,Netflix,Premium,299,2023-03-11
S488,U1508,SonyLIV,Premium,299,2023-06-23
S489,U43210,Hotstar,Premium,499,2024-08-16
S490,U42521,Prime,Premium,499,2023-05-22
S491,U9392,Prime,Basic,199,2024-12-20
S492,U43136,SonyLIV,Premium,299,2023-04-05
S493,U13916,Hotstar,Premium,499,2023-08-25
S494,U41494,Prime,Premium,299,2023-12-30
S495,U29799,Prime,Premium,499,2023-03-23
S496,U3143,Prime,Basic,499,2023-12-22
S497,U25340,Netflix,Basic,299,2024-04-18
S498,U42476,Netflix,Basic,499,2024-04-05
S499,U3037,Prime,Basic,199,2024-12-03
S500,U15289,SonyLIV,Basic,299,2024-10-18
S501,U22788,Hotstar,Premium,299,2023-06-15
S502,U47298,Netflix,Premium,299,2023-05-11
S503,U29125,SonyLIV,Basic,299,2023-06-18
S504,U3389,Hotstar,Premium,499,2023-05-04
S505,U42130,Prime,Premium,299,2024-06-03
S506,U11842,Hotstar,Premium,199,2024-12-28
S507,U27520,Netflix,Basic,499,2023-02-05
S508,U20283,SonyLIV,Basic,499,2023-11-16
S509,U42902,Netflix,Basic,199,2023-11-08
S510,U37001,Prime,Basic,199,2023-12-23
S511,U13651,SonyLIV,Basic,499,2024-08-04
S512,U45459,Netflix,Premium,299,2023-06-30
S513,U11285,Hotstar,Premium,199,2023-09-05
S514,U4073,Prime,Basic,499,2024-05-24
S515,U21877,SonyLIV,Basic,499,2024-02-23
S516,U46050,Hotstar,Premium,499,2023-05-29
S517,U14863,SonyLIV,Premium,299,2024-02-13
S518,U9577,Prime,Premium,499,2024-10-11
S519,U6379,Netflix,Basic,499,2023-10-27
S520,U33838,Hotstar,Basic,499,2023-04-04
S521,U30384,Hotstar,Basic,499,2023-09-01
S522,U2681,SonyLIV,Basic,199,2024-05-24
S523,U754,Hotstar,Premium,199,2023-11-01
S524,U20236,Prime,Premium,199,2023-12-10
S525,U33598,Netflix,Basic,499,2023-01-24
S526,U24532,Prime,Premium,499,2023-03-26
S527,U41530,Netflix,Basic,499,2023-10-04
S528,U23009,Prime,Premium,199,2024-10-08
S529,U6274,Netflix,Basic,499,2023-08-18
S530,U17541,Netflix,Premium,499,2024-05-24
S531,U2053,Hotstar,Basic,199,2023-03-10
S532,U21269,SonyLIV,Basic,299,2023-07-20
S533,U17401,Netflix,Basic,299,2024-01-06
S534,U35461,Hotstar,Premium,499,2024-04-30
S535,U19650,Netflix,Premium,299,2023-06-24
S536,U49772,Netflix,Basic,299,2023-12-14
S537,U29927,Hotstar,Premium,299,2023-07-16
S538,U4416,Netflix,Basic,199,2024-03-01
S539,U7587,Hotstar,Premium,299,2024-07-14
S540,U20329,Netflix,Premium,299,2023-06-02
S541,U4293,Hotstar,Basic,499,2024-12-25
S542,U48567,Hotstar,Premium,499,2025-01-01
S543,U23892,Netflix,Basic,499,2023-12-03
S544,U1559,Prime,Basic,199,2023-05-11
S545,U36899,Prime,Basic,499,2023-11-12
S546,U41147,SonyLIV,Premium,499,2024-07-24
S547,U28490,SonyLIV,Premium,299,2024-06-08
